filename,title,primary_keyword,peptide,category,type,tier,vendors
bpc-157-for-rotator-cuff.html,"BPC-157 for Rotator Cuff: Research, Protocol & What to Expect",BPC-157 for rotator cuff,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-achilles-tendon.html,"BPC-157 for Achilles Tendon: Research, Protocol & What to Expect",BPC-157 for achilles tendon,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-knee-injury.html,"BPC-157 for Knee Injury: Research, Protocol & What to Expect",BPC-157 for knee injury,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-meniscus-tear.html,"BPC-157 for Meniscus Tear: Research, Protocol & What to Expect",BPC-157 for meniscus tear,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-tennis-elbow.html,"BPC-157 for Tennis Elbow: Research, Protocol & What to Expect",BPC-157 for tennis elbow,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-plantar-fasciitis.html,"BPC-157 for Plantar Fasciitis: Research, Protocol & What to Expect",BPC-157 for plantar fasciitis,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-herniated-disc.html,"BPC-157 for Herniated Disc: Research, Protocol & What to Expect",BPC-157 for herniated disc,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-acl-tear.html,"BPC-157 for Acl Tear: Research, Protocol & What to Expect",BPC-157 for ACL tear,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-shoulder-injury.html,"BPC-157 for Shoulder Injury: Research, Protocol & What to Expect",BPC-157 for shoulder injury,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-back-pain.html,"BPC-157 for Back Pain: Research, Protocol & What to Expect",BPC-157 for back pain,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-hip-pain.html,"BPC-157 for Hip Pain: Research, Protocol & What to Expect",BPC-157 for hip pain,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-wrist-injury.html,"BPC-157 for Wrist Injury: Research, Protocol & What to Expect",BPC-157 for wrist injury,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-ankle-sprain.html,"BPC-157 for Ankle Sprain: Research, Protocol & What to Expect",BPC-157 for ankle sprain,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-golfers-elbow.html,"BPC-157 for Golfers Elbow: Research, Protocol & What to Expect",BPC-157 for golfers elbow,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-carpal-tunnel.html,"BPC-157 for Carpal Tunnel: Research, Protocol & What to Expect",BPC-157 for carpal tunnel,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-shin-splints.html,"BPC-157 for Shin Splints: Research, Protocol & What to Expect",BPC-157 for shin splints,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-torn-labrum.html,"BPC-157 for Torn Labrum: Research, Protocol & What to Expect",BPC-157 for torn labrum,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-hamstring-tear.html,"BPC-157 for Hamstring Tear: Research, Protocol & What to Expect",BPC-157 for hamstring tear,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-quad-tear.html,"BPC-157 for Quad Tear: Research, Protocol & What to Expect",BPC-157 for quad tear,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-muscle-tear.html,"BPC-157 for Muscle Tear: Research, Protocol & What to Expect",BPC-157 for muscle tear,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-ligament-damage.html,"BPC-157 for Ligament Damage: Research, Protocol & What to Expect",BPC-157 for ligament damage,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-nerve-damage.html,"BPC-157 for Nerve Damage: Research, Protocol & What to Expect",BPC-157 for nerve damage,BPC-157,Healing,Condition-Specific,1,
bpc-157-for-ulcer.html,"BPC-157 for Ulcer: Research, Protocol & What to Expect",BPC-157 for ulcer,BPC-157,Healing,Condition-Specific,1,
